Microsoft,JPMorgan,Walmart,Salesforce,McDonald's,Amazon,NVIDIA,Caterpillar,CocaCola,Google
370.7300109863281,165.22999572753906,152.74000549316406,261.6000061035156,287.2699890136719,149.97000122070312,488.8999938964844,285.739990234375,58.599998474121094,132.60000610351562
372.6499938964844,166.22999572753906,154.97000122070312,263.5899963378906,290.2300109863281,154.07000732421875,500.7699890136719,285.7099914550781,59.02000045776367,135.8000030517578
373.260009765625,168.4499969482422,155.52999877929688,264.3399963378906,290.7300109863281,153.7899932861328,496.0400085449219,292.9599914550781,58.83000183105469,136.64999389648438
370.6199951171875,166.5500030517578,153.7100067138672,260.25,288.989990234375,152.1199951171875,481.1099853515625,289.7099914550781,57.61000061035156,138.33999633789062
373.5400085449219,167.5,154.8000030517578,267.25,291.3900146484375,153.83999633789062,489.8999938964844,290.07000732421875,57.9900016784668,140.4199981689453
374.5799865722656,167.39999389648438,156.64999389648438,266.3399963378906,291.70001220703125,153.4199981689453,488.29998779296875,290.3599853515625,58.31999969482422,141.49000549316406
374.6600036621094,168.38999938964844,156.41000366210938,266.2200012207031,292.8599853515625,153.41000366210938,492.7900085449219,295.6300048828125,58.560001373291016,141.52000427246094
374.07000732421875,169.39999389648438,157.8800048828125,266.7200012207031,294.54998779296875,153.33999633789062,494.1700134277344,298.1199951171875,58.709999084472656,140.3699951171875
375.2799987792969,170.3000030517578,157.57000732421875,265.5799865722656,295.8399963378906,153.3800048828125,495.2200012207031,296.8800048828125,58.75,140.22999572753906
376.0400085449219,170.10000610351562,157.64999389648438,263.1400146484375,296.510009765625,151.94000244140625,495.2200012207031,295.6700134277344,58.93000030517578,139.69000244140625
370.8699951171875,172.0800018310547,159.2899932861328,256.1300048828125,297.0400085449219,149.92999267578125,481.67999267578125,292.7099914550781,59.81999969482422,138.1699981689453
370.6000061035156,171.3300018310547,159.3000030517578,251.83999633789062,294.3900146484375,148.47000122070312,475.69000244140625,284.29998779296875,59.959999084472656,138.9199981689453
367.94000244140625,171.41000366210938,157.75999450683594,251.24000549316406,291.739990234375,144.57000732421875,479.9800109863281,286.1000061035156,59.7599983215332,136.38999938964844
367.75,172.27000427246094,156.7100067138672,251.1199951171875,288.989990234375,145.24000549316406,490.9700012207031,288.92999267578125,59.66999816894531,135.72999572753906
374.69000244140625,172.02000427246094,158.25,260.8699951171875,291.8999938964844,149.10000610351562,522.530029296875,292.25,60.11000061035156,138.83999633789062
375.7900085449219,170.66000366210938,159.30999755859375,261.3399963378906,290.8699951171875,151.3699951171875,531.4000244140625,292.2900085449219,60.0,140.9499969482422
382.7699890136719,171.02000427246094,161.2899932861328,264.1300048828125,294.0899963378906,153.72999572753906,543.5,293.3500061035156,60.20000076293945,142.27999877929688
384.6300048828125,170.3000030517578,161.11000061035156,271.3800048828125,294.1499938964844,155.17999267578125,548.219970703125,292.05999755859375,59.810001373291016,142.0800018310547
388.4700012207031,169.0500030517578,161.32000732421875,271.92999267578125,293.4700012207031,154.6199951171875,547.0999755859375,290.4100036621094,60.38999938964844,142.64999389648438
390.2699890136719,167.99000549316406,161.8300018310547,269.19000244140625,291.0899963378906,153.16000366210938,563.8200073242188,287.2300109863281,59.9900016784668,142.49000549316406
389.4700012207031,167.08999633789062,161.07000732421875,271.44000244140625,291.1600036621094,151.7100067138672,560.530029296875,278.6300048828125,59.9900016784668,141.47000122070312
393.8699951171875,167.4199981689453,163.24000549316406,274.4599914550781,294.3599853515625,153.5,571.0700073242188,281.8999938964844,60.15999984741211,143.47999572753906
398.6700134277344,170.30999755859375,162.3800048828125,280.8800048828125,300.5299987792969,155.33999633789062,594.9099731445312,285.2799987792969,59.83000183105469,146.3800048828125
396.510009765625,170.11000061035156,162.38999938964844,280.29998779296875,298.4100036621094,154.77999877929688,596.5399780273438,288.6700134277344,59.56999969482422,145.99000549316406
398.8999938964844,168.99000549316406,162.8000030517578,276.7699890136719,300.04998779296875,156.02000427246094,598.72998046875,288.8299865722656,59.849998474121094,147.0399932861328
402.55999755859375,170.5,160.5,276.8800048828125,300.44000244140625,156.8699951171875,613.6199951171875,290.67999267578125,58.90999984741211,148.6999969482422
404.8699951171875,172.94000244140625,162.83999633789062,279.0299987792969,297.2099914550781,157.75,616.1699829101562,300.7699890136719,59.15999984741211,151.8699951171875
403.92999267578125,172.27999877929688,164.27000427246094,279.94000244140625,292.260009765625,159.1199951171875,610.3099975585938,299.42999267578125,59.369998931884766,152.19000244140625
409.7200012207031,172.72999572753906,165.0399932861328,287.8599853515625,292.30999755859375,161.25999450683594,624.6500244140625,303.25,59.72999954223633,153.50999450683594
408.5899963378906,176.27000427246094,165.58999633789062,287.7300109863281,294.6499938964844,159.0,627.739990234375,304.760009765625,59.900001525878906,151.4600067138672
397.5799865722656,174.36000061035156,165.25,281.0899963378906,292.7200012207031,155.1999969482422,615.27001953125,300.30999755859375,59.4900016784668,140.10000610351562
403.7799987792969,173.72999572753906,168.30999755859375,283.79998779296875,298.0799865722656,159.27999877929688,630.27001953125,307.69000244140625,60.97999954223633,141.16000366210938
411.2200012207031,174.72999572753906,169.57000732421875,285.6600036621094,297.04998779296875,171.80999755859375,661.5999755859375,315.0899963378906,60.540000915527344,142.3800048828125
405.6499938964844,174.5,168.66000366210938,288.1099853515625,285.9700012207031,170.30999755859375,693.3200073242188,321.3999938964844,60.040000915527344,143.67999267578125
405.489990234375,175.10000610351562,169.80999755859375,285.8299865722656,284.6499938964844,169.14999389648438,682.22998046875,322.7200012207031,59.939998626708984,144.10000610351562
414.04998779296875,175.42999267578125,169.3800048828125,288.8399963378906,287.3299865722656,170.52999877929688,700.989990234375,323.5899963378906,59.9900016784668,145.5399932861328
414.1099853515625,174.8000030517578,169.3699951171875,291.95001220703125,291.92999267578125,169.83999633789062,696.4099731445312,322.0,59.83000183105469,145.91000366210938
420.54998779296875,175.00999450683594,169.27999877929688,291.29998779296875,289.4700012207031,174.4499969482422,721.3300170898438,317.1600036621094,59.560001373291016,149.0
415.260009765625,175.7899932861328,170.3000030517578,287.32000732421875,289.44000244140625,172.33999633789062,722.47998046875,321.6300048828125,59.70000076293945,147.52999877929688
406.32000732421875,174.25999450683594,169.13999938964844,281.1499938964844,287.1099853515625,168.63999938964844,721.280029296875,312.8399963378906,59.349998474121094,145.13999938964844
409.489990234375,176.02999877929688,168.60000610351562,289.1499938964844,288.1700134277344,170.97999572753906,739.0,316.7099914550781,59.290000915527344,145.94000244140625
406.55999755859375,179.8699951171875,169.2899932861328,291.94000244140625,291.8599853515625,169.8000030517578,726.5800170898438,323.07000732421875,59.400001525878906,142.77000427246094
404.05999755859375,179.02999877929688,170.36000061035156,289.7200012207031,292.0199890136719,169.50999450683594,726.1300048828125,321.9100036621094,59.38999938964844,140.52000427246094
402.7900085449219,179.72999572753906,175.86000061035156,286.3900146484375,292.6499938964844,167.0800018310547,694.52001953125,313.739990234375,60.70000076293945,141.1199951171875
402.17999267578125,180.89999389648438,173.6999969482422,283.54998779296875,293.9100036621094,168.58999633789062,674.719970703125,317.1400146484375,61.2400016784668,142.5500030517578
